DATE,MABMM301USM189S
1960-01-01,298633333333.33333333
1960-04-01,301100000000.00000000
1960-07-01,306466666666.66666667
1960-10-01,310933333333.33333333
1961-01-01,316300000000.00000000
1961-04-01,322133333333.33333333
1961-07-01,327566666666.66666667
1961-10-01,333333333333.33333333
1962-01-01,340233333333.33333333
1962-04-01,347433333333.33333333
1962-07-01,352833333333.33333333
1962-10-01,359900000000.00000000
1963-01-01,367933333333.33333333
1963-04-01,375933333333.33333333
1963-07-01,383566666666.66666667
1963-10-01,391000000000.00000000
1964-01-01,397533333333.33333333
1964-04-01,404333333333.33333333
1964-07-01,413466666666.66666667
1964-10-01,421933333333.33333333
1965-01-01,430366666666.66666667
1965-04-01,437533333333.33333333
1965-07-01,446066666666.66666667
1965-10-01,455833333333.33333333
1966-01-01,464600000000.00000000
1966-04-01,470200000000.00000000
1966-07-01,472966666666.66666667
1966-10-01,477733333333.33333333
1967-01-01,485466666666.66666667
1967-04-01,497100000000.00000000
1967-07-01,510600000000.00002000
1967-10-01,521400000000.00002000
1968-01-01,530333333333.33335333
1968-04-01,539066666666.66668667
1968-07-01,549533333333.33333333
1968-10-01,562266666666.66666667
1969-01-01,571866666666.66666667
1969-04-01,576900000000.00000000
1969-07-01,580566666666.66666667
1969-10-01,585566666666.66666667
1970-01-01,587733333333.33333333
1970-04-01,591700000000.00000000
1970-07-01,605066666666.66666667
1970-10-01,621333333333.33333333
1971-01-01,641266666666.66666667
1971-04-01,666033333333.33333333
1971-07-01,685866666666.66666667
1971-10-01,704433333333.33333333
1972-01-01,725633333333.33333333
1972-04-01,743800000000.00000000
1972-07-01,768833333333.33333333
1972-10-01,794366666666.66666667
1973-01-01,813233333333.33333333
1973-04-01,826600000000.00000000
1973-07-01,838200000000.00000000
1973-10-01,849000000000.00000000
1974-01-01,864666666666.66666667
1974-04-01,875100000000.00000000
1974-07-01,884466666666.66666667
1974-10-01,898000000000.00000000
1975-01-01,915133333333.33333333
1975-04-01,948666666666.66666667
1975-07-01,983233333333.33333333
1975-10-01,1006966666666.66666667
1976-01-01,1038966666666.66663333
1976-04-01,1070166666666.66660000
1976-07-01,1098600000000.00000000
1976-10-01,1138400000000.00000000
1977-01-01,1177100000000.00000000
1977-04-01,1208800000000.00000000
1977-07-01,1236633333333.33333333
1977-10-01,1262233333333.33333333
1978-01-01,1285800000000.00000000
1978-04-01,1309800000000.00000000
1978-07-01,1334200000000.0000
1978-10-01,1359133333333.3333
1979-01-01,1379066666666.6667
1979-04-01,1411766666666.6667
1979-07-01,1445166666666.6667
1979-10-01,1466666666666.6667
1980-01-01,1492366666666.6667
1980-04-01,1514566666666.6667
1980-07-01,1560333333333.3333
1980-10-01,1593466666666.6667
1981-01-01,1620733333333.3333
1981-04-01,1664566666666.6667
1981-07-01,1694066666666.6667
1981-10-01,1737800000000.0000
1982-01-01,1777133333333.3333
1982-04-01,1815100000000.0000
1982-07-01,1845033333333.3333
1982-10-01,1886433333333.3333
1983-01-01,1990466666666.6667
1983-04-01,2041733333333.3333
1983-07-01,2074000000000.0000
1983-10-01,2111666666666.6667
1984-01-01,2157199999999.9998
1984-04-01,2203633333333.3333
1984-07-01,2232766666666.6667
1984-10-01,2282233333333.3333
1985-01-01,2350900000000.0000
1985-04-01,2392500000000.0000
1985-07-01,2443300000000.0000
1985-10-01,2479300000000.0000
1986-01-01,2516033333333.3333
1986-04-01,2582533333333.3333
1986-07-01,2646966666666.6667
1986-10-01,2705566666666.6667
1987-01-01,2748366666666.6667
1987-04-01,2771733333333.3333
1987-07-01,2788900000000.0000
1987-10-01,2820033333333.3333
1988-01-01,2869500000000.0000
1988-04-01,2925033333333.3333
1988-07-01,2952033333333.3333
1988-10-01,2977900000000.0000
1989-01-01,2994533333333.3333
1989-04-01,3015166666666.6667
1989-07-01,3073100000000.0000
1989-10-01,3133300000000.0000
1990-01-01,3178700000000.0000
1990-04-01,3205300000000.0000
1990-07-01,3240366666666.6667
1990-10-01,3264566666666.6667
1991-01-01,3304700000000.0000
1991-04-01,3342433333333.3333
1991-07-01,3355333333333.3333
1991-10-01,3365933333333.3333
1992-01-01,3395033333333.3333
1992-04-01,3397233333333.3333
1992-07-01,3401000000000.0000
1992-10-01,3425000000000.0000
1993-01-01,3415100000000.0000
1993-04-01,3430200000000.0000
1993-07-01,3446633333333.3333
1993-10-01,3467100000000.0000
1994-01-01,3476900000000.0000
1994-04-01,3483866666666.6667
1994-07-01,3486666666666.6667
1994-10-01,3485966666666.6667
1995-01-01,3491133333333.3333
1995-04-01,3524100000000.0000
1995-07-01,3586166666666.6667
1995-10-01,3620933333333.3333
1996-01-01,3665533333333.3333
1996-04-01,3709933333333.3333
1996-07-01,3744833333333.3333
1996-10-01,3795500000000.0000
1997-01-01,3847366666666.6667
1997-04-01,3890733333333.3333
1997-07-01,3951466666666.6667
1997-10-01,4013333333333.3333
1998-01-01,4086466666666.6667
1998-04-01,4162900000000.0000
1998-07-01,4233366666666.6668
1998-10-01,4343099999999.9998
1999-01-01,4420000000000.0000
1999-04-01,4484400000000.0000
1999-07-01,4551300000000.0000
1999-10-01,4613333333333.3333
2000-01-01,4685266666666.6667
2000-04-01,4763933333333.3333
2000-07-01,4820033333333.3333
2000-10-01,4891500000000.0000
2001-01-01,5020600000000.0000
2001-04-01,5147466666666.6667
2001-07-01,5263000000000.0000
2001-10-01,5383900000000.0000
2002-01-01,5477566666666.6667
2002-04-01,5521133333333.3333
2002-07-01,5625566666666.6667
2002-10-01,5741000000000.0000
2003-01-01,5835566666666.6667
2003-04-01,5951366666666.6667
2003-07-01,6072100000000.0000
2003-10-01,6066666666666.6667
2004-01-01,6113300000000.0000
2004-04-01,6243266666666.6667
2004-07-01,6313400000000.0000
2004-10-01,6397133333333.3333
2005-01-01,6433066666666.6667
2005-04-01,6478333333333.3333
2005-07-01,6570633333333.3333
2005-10-01,6658500000000.0000
2006-01-01,6745266666666.6667
2006-04-01,6817300000000.0000
2006-07-01,6915866666666.6667
2006-10-01,7031100000000.0000
2007-01-01,7131333333333.3333
2007-04-01,7251766666666.6667
2007-07-01,7365766666666.6667
2007-10-01,7443533333333.3333
2008-01-01,7584100000000.0000
2008-04-01,7713100000000.0000
2008-07-01,7808366666666.6667
2008-10-01,8057733333333.3333
2009-01-01,8315366666666.6667
2009-04-01,8414700000000.0003
2009-07-01,8444766666666.6670
2009-10-01,8489299999999.9997
2010-01-01,8490000000000.0000
2010-04-01,8578033333333.3337
2010-07-01,8662666666666.6663
2010-10-01,8773733333333.3333
2011-01-01,8884500000000.0000
2011-04-01,9077133333333.3333
2011-07-01,9450833333333.3333
2011-10-01,9611600000000.0000
2012-01-01,9783200000000.0000
2012-04-01,9937433333333.3333
2012-07-01,10124633333333.3333
2012-10-01,10354866666666.6667
2013-01-01,10514166666666.6667
2013-04-01,10628666666666.6667
2013-07-01,10777400000000.0000
2013-10-01,10988766666666.6667
2014-01-01,11155900000000.0000
2014-04-01,11317866666666.6667
2014-07-01,11462866666666.6667
2014-10-01,11618566666666.6667
2015-01-01,11837133333333.3333
2015-04-01,11962833333333.3333
2015-07-01,12104666666666.6667
2015-10-01,12275766666666.6667
2016-01-01,12547766666666.6667
2016-04-01,12765333333333.3333
2016-07-01,12964700000000.0000
2016-10-01,13162433333333.3333
2017-01-01,13356366666666.6667
2017-04-01,13527400000000.0000
2017-07-01,13670100000000.0000
2017-10-01,13809300000000.0000
2018-01-01,13917400000000.0000
2018-04-01,14046533333333.3333
2018-07-01,14177800000000.0000
2018-10-01,14274000000000.0000
2019-01-01,14469933333333.3333
2019-04-01,14647300000000.0000
2019-07-01,14921100000000.0000
2019-10-01,15234566666666.6667
2020-01-01,15608333333333.3333
2020-04-01,17660133333333.3327
2020-07-01,18403200000000.0000
2020-10-01,18930933333333.3333
2021-01-01,19599166666666.6667
2021-04-01,20351433333333.3333
2021-07-01,20825033333333.3333
2021-10-01,21326900000000.0000
2022-01-01,21610300000000.0000
2022-04-01,21669566666666.6667
2022-07-01,21629466666666.6667
2022-10-01,21396933333333.3333
2023-01-01,21065833333333.3333
2023-04-01,20793533333333.3333
2023-07-01,20814833333333.3333
2023-10-01,.
